school,position,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
Loyola,RS/OH,26,85,129,1.52,77,396,.131,5,0.06,1,0.01,9,4,50,0.59,7,34,41,0.48,153.5,1.8
Loyola,DS/L,15,39,1,0.03,2,9,-.111,6,0.15,9,0.23,30,2,41,1.05,0,2,2,0.05,11.0,0.3
Loyola,S,27,87,1,0.01,9,21,-.381,388,4.46,18,0.21,7,1,127,1.46,0,0,0,0.00,21.0,0.2
Loyola,OH/DS,6,13,6,0.46,2,12,.333,0,0.00,7,0.54,8,0,6,0.46,0,1,1,0.08,13.5,1.0
Loyola,L/DS,30,101,5,0.05,7,44,-.045,73,0.72,22,0.22,530,26,456,4.51,0,0,0,0.00,27.0,0.3
Loyola,MB,27,86,211,2.45,48,478,.341,10,0.12,29,0.34,25,2,44,0.51,18,55,72,0.84,287.0,3.3
Loyola,Opp/MB,18,50,49,0.98,28,188,.112,4,0.08,0,0.00,11,2,24,0.48,2,16,18,0.36,59.0,1.2
Loyola,MB/Opp,13,37,28,0.76,21,100,.070,0,0.00,0,0.00,3,3,4,0.11,6,25,31,0.84,46.5,1.3
Lindsey Wilson,DS,19,47,0,0.00,1,2,-.500,4,0.09,6,0.13,33,3,39,0.83,0,0,0,0.00,6.0,0.1
Lindsey Wilson,OH/RS,19,60,141,2.35,48,395,.235,6,0.10,5,0.08,135,13,52,0.87,3,21,24,0.40,159.5,2.7
Lindsey Wilson,DS,22,76,1,0.01,0,8,.125,42,0.55,27,0.36,314,29,224,2.95,0,0,0,0.00,28.0,0.4
Lindsey Wilson,S,6,8,1,0.13,0,2,.500,21,2.63,0,0.00,0,0,3,0.38,0,0,0,0.00,1.0,0.1
Lindsey Wilson,S,23,83,51,0.61,12,168,.232,758,9.13,11,0.13,8,1,242,2.92,4,24,28,0.34,78.0,0.9
Lindsey Wilson,OH,23,84,218,2.60,84,613,.219,4,0.05,0,0.00,41,11,59,0.70,5,26,31,0.37,236.0,2.8
Lindsey Wilson,MH,21,74,159,2.15,50,335,.325,3,0.04,15,0.20,23,3,22,0.30,7,38,45,0.61,200.0,2.7
Lindsey Wilson,OH,24,81,93,1.15,50,366,.117,6,0.07,20,0.25,224,24,125,1.54,1,13,14,0.17,120.5,1.5
Lindsey Wilson,MH,24,89,202,2.27,53,473,.315,4,0.04,3,0.03,15,3,23,0.26,14,59,73,0.82,248.5,2.8
Lindsey Wilson,DS,22,69,3,0.04,3,27,.000,14,0.20,15,0.22,208,22,126,1.83,0,0,0,0.00,18.0,0.3
Lindsey Wilson,DS,20,67,118,1.76,47,366,.194,5,0.07,8,0.12,190,13,99,1.48,4,23,27,0.40,141.5,2.1
Lindsey Wilson,S,24,89,3,0.03,2,25,.040,49,0.55,28,0.31,388,25,268,3.01,0,0,0,0.00,31.0,0.3
Lindsey Wilson,OH,8,13,2,0.15,1,11,.091,57,4.38,2,0.15,1,0,16,1.23,0,1,1,0.08,4.5,0.3
Lindsey Wilson,DS,19,55,95,1.73,53,298,.141,3,0.05,0,0.00,9,0,30,0.55,5,13,18,0.33,106.5,1.9
Lyon,S,24,64,10,0.16,6,53,.075,151,2.36,4,0.06,10,7,59,0.92,1,3,4,0.06,16.5,0.3
Lyon,OH,26,98,182,1.86,114,612,.111,58,0.59,2,0.02,4,3,82,0.84,10,32,42,0.43,210.0,2.1
Lyon,DS,7,14,1,0.07,1,4,.000,2,0.14,2,0.14,6,0,7,0.50,0,0,0,0.00,3.0,0.2
Lyon,DS,17,27,0,0.00,2,5,-.400,1,0.04,0,0.00,17,5,17,0.63,0,0,0,0.00,0.0,0.0
Lyon,DS,26,98,3,0.03,3,48,.000,68,0.69,24,0.24,603,39,498,5.08,0,0,0,0.00,27.0,0.3
Lyon,DS,6,7,1,0.14,1,7,.000,0,0.00,0,0.00,1,1,1,0.14,0,0,0,0.00,1.0,0.1
Lyon,OH,25,95,205,2.16,120,806,.105,16,0.17,22,0.23,470,30,295,3.11,5,16,21,0.22,240.0,2.5
Lyon,DS,24,81,70,0.86,30,296,.135,9,0.11,13,0.16,50,5,100,1.23,1,12,13,0.16,90.0,1.1
Lyon,MB,21,43,11,0.26,9,43,.047,4,0.09,0,0.00,2,1,5,0.12,4,10,14,0.33,20.0,0.5
Lyon,OH,26,98,299,3.05,147,826,.184,13,0.13,25,0.26,412,51,303,3.09,15,22,37,0.38,350.0,3.6
Lyon,OH,24,88,83,0.94,38,289,.156,3,0.03,15,0.17,4,0,44,0.50,16,15,31,0.35,121.5,1.4
Lyon,MB,26,98,126,1.29,83,350,.123,4,0.04,9,0.09,10,2,17,0.17,17,46,63,0.64,175.0,1.8
Lyon,S,26,90,10,0.11,4,43,.140,368,4.09,16,0.18,1,0,108,1.20,0,0,0,0.00,26.0,0.3
Lyon,S,18,62,5,0.08,6,43,-.023,243,3.92,20,0.32,3,0,63,1.02,0,1,1,0.02,25.5,0.4
Lyon,OH,2,3,0,0.00,0,1,.000,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Marian,MH,23,74,207,2.80,51,486,.321,2,0.03,0,0.00,16,0,50,0.68,8,33,41,0.55,231.5,3.1
Marian,MH,25,80,93,1.16,30,227,.278,3,0.04,0,0.00,1,0,7,0.09,12,93,105,1.31,151.5,1.9
Marian,OH,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Marian,OH,20,54,47,0.87,25,186,.118,3,0.06,1,0.02,66,3,32,0.59,0,11,11,0.20,53.5,1.0
Marian,MH,3,3,3,1.00,0,9,.333,1,0.33,0,0.00,0,0,1,0.33,1,1,2,0.67,4.5,1.5
Marian,RS,14,43,115,2.67,21,256,.367,1,0.02,0,0.00,6,1,32,0.74,0,23,23,0.53,126.5,2.9
Marian,OH,27,93,361,3.88,92,907,.297,14,0.15,16,0.17,612,24,272,2.92,9,58,67,0.72,415.0,4.5
Marian,S/DS,23,74,9,0.12,4,27,.185,336,4.54,24,0.32,2,1,96,1.30,0,0,0,0.00,33.0,0.4
Marian,OH,27,91,163,1.79,53,522,.211,5,0.05,0,0.00,2,0,34,0.37,5,62,67,0.74,199.0,2.2
Marian,S,27,91,22,0.24,3,52,.365,532,5.85,14,0.15,4,1,242,2.66,0,0,0,0.00,36.0,0.4
Marian,MH,26,81,131,1.62,40,317,.287,11,0.14,1,0.01,11,0,15,0.19,14,72,86,1.06,182.0,2.2
Marian,DS/L,27,91,2,0.02,0,5,.400,10,0.11,26,0.29,153,10,216,2.37,0,0,0,0.00,28.0,0.3
Marian,DS,26,91,0,0.00,1,7,-.143,11,0.12,28,0.31,62,6,80,0.88,0,0,0,0.00,28.0,0.3
Marian,OH,15,30,3,0.10,1,14,.143,5,0.17,2,0.07,50,2,36,1.20,0,1,1,0.03,5.5,0.2
Marian,S,12,33,4,0.12,2,17,.118,159,4.82,2,0.06,1,0,63,1.91,0,3,3,0.09,7.5,0.2
Marian,MH/RS,5,5,5,1.00,0,14,.357,0,0.00,0,0.00,0,0,2,0.40,0,4,4,0.80,7.0,1.4
Marian,OH/RS,19,45,78,1.73,35,232,.185,2,0.04,0,0.00,84,4,27,0.60,2,10,12,0.27,85.0,1.9
Marian,DS,27,94,2,0.02,1,21,.048,70,0.74,26,0.28,419,24,398,4.23,0,0,0,0.00,28.0,0.3
Marian,DS,8,11,16,1.45,7,39,.231,1,0.09,0,0.00,0,0,3,0.27,1,7,8,0.73,20.5,1.9
Marian,DS/L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,OH,33,132,234,1.77,107,839,.151,20,0.15,13,0.10,353,10,203,1.54,9,34,43,0.33,273.0,2.1
Mayville State,MH,4,9,0,0.00,0,2,.000,5,0.56,0,0.00,2,1,2,0.22,0,1,1,0.11,0.5,0.1
Mayville State,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,DS,4,5,0,0.00,0,1,.000,1,0.20,0,0.00,2,1,0,0.00,0,0,0,0.00,0.0,0.0
Mayville State,OH,33,129,264,2.05,159,803,.131,5,0.04,0,0.00,13,1,37,0.29,3,41,44,0.34,287.5,2.2
Mayville State,DS,33,132,3,0.02,7,57,-.070,60,0.45,12,0.09,576,26,523,3.96,0,0,0,0.00,15.0,0.1
Mayville State,MH,33,132,116,0.88,71,505,.089,9,0.07,0,0.00,3,0,33,0.25,20,75,95,0.72,173.5,1.3
Mayville State,DS,33,132,3,0.02,6,33,-.091,45,0.34,31,0.23,480,21,369,2.80,1,1,2,0.02,35.5,0.3
Mayville State,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,S,33,132,43,0.33,26,187,.091,620,4.70,27,0.20,9,1,255,1.93,1,0,1,0.01,71.0,0.5
Mayville State,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,MH,11,27,23,0.85,10,72,.181,1,0.04,0,0.00,1,0,15,0.56,6,17,23,0.85,37.5,1.4
Mayville State,OH,30,116,398,3.43,143,1240,.206,550,4.74,18,0.16,18,3,323,2.78,7,68,75,0.65,457.0,3.9
Mayville State,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,MH,32,125,274,2.19,105,926,.183,12,0.10,0,0.00,1,0,29,0.23,20,97,117,0.94,342.5,2.7
Mayville State,DS,33,132,13,0.10,6,174,.040,38,0.29,33,0.25,535,15,825,6.25,0,0,0,0.00,46.0,0.3
Mayville State,OPP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,OPP,6,20,4,0.20,2,14,.143,62,3.10,2,0.10,4,2,29,1.45,1,3,4,0.20,8.5,0.4
Mayville State,OPP,33,132,157,1.19,124,617,.053,11,0.08,1,0.01,451,21,91,0.69,3,24,27,0.20,173.0,1.3
Mayville State,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,MH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayville State,N/A,1,3,12,4.00,1,21,.524,0,0.00,0,0.00,0,0,0,0.00,0,1,1,0.33,12.5,4.2
Mayville State,MH,4,4,1,0.25,2,5,-.200,0,0.00,0,0.00,3,0,0,0.00,0,1,1,0.25,1.5,0.4
Mayville State,OPP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Menlo,DS,22,65,1,0.02,2,5,-.200,6,0.09,7,0.11,59,7,60,0.92,0,0,0,0.00,8.0,0.1
Menlo,MB,6,12,3,0.25,1,14,.143,0,0.00,0,0.00,1,1,4,0.33,0,5,5,0.42,5.5,0.5
Menlo,MB,23,60,43,0.72,35,172,.047,2,0.03,0,0.00,1,0,21,0.35,1,21,22,0.37,54.5,0.9
Menlo,OH,26,99,230,2.32,116,832,.137,20,0.20,23,0.23,481,42,209,2.11,4,22,26,0.26,268.0,2.7
Menlo,S,24,76,6,0.08,2,26,.154,47,0.62,26,0.34,66,5,133,1.75,0,0,0,0.00,32.0,0.4
Menlo,MB,24,90,128,1.42,53,335,.224,4,0.04,11,0.12,20,2,27,0.30,13,71,84,0.93,187.5,2.1
Menlo,LB,26,99,2,0.02,8,43,-.140,86,0.87,34,0.34,646,63,456,4.61,0,0,0,0.00,36.0,0.4
Menlo,S,26,98,30,0.31,3,55,.491,443,4.52,33,0.34,9,2,181,1.85,0,2,2,0.02,64.0,0.7
Menlo,S,24,89,23,0.26,7,54,.296,323,3.63,26,0.29,3,1,80,0.90,4,18,22,0.25,62.0,0.7
Menlo,S,7,8,0,0.00,0,0,-,0,0.00,0,0.00,5,4,4,0.50,0,0,0,0.00,0.0,0.0
Menlo,MB,26,99,156,1.58,52,373,.279,11,0.11,1,0.01,13,1,20,0.20,10,56,66,0.67,195.0,2.0
Menlo,OH,25,93,206,2.22,124,645,.127,24,0.26,27,0.29,449,39,182,1.96,5,23,28,0.30,249.5,2.7
Menlo,OH,26,99,185,1.87,105,562,.142,13,0.13,0,0.00,20,4,59,0.60,4,46,50,0.51,212.0,2.1
Menlo,OH,12,28,5,0.18,5,30,.000,1,0.04,9,0.32,48,8,31,1.11,0,0,0,0.00,14.0,0.5
Madonna,MB/OH,26,100,243,2.43,98,523,.277,15,0.15,32,0.32,82,6,74,0.74,2,83,85,0.85,318.5,3.2
Madonna,MB/OH,26,101,175,1.73,78,423,.229,25,0.25,11,0.11,233,30,81,0.80,5,100,105,1.04,241.0,2.4
Madonna,DS,26,94,1,0.01,3,19,-.105,36,0.38,25,0.27,455,29,342,3.64,0,0,0,0.00,26.0,0.3
Madonna,OH,26,99,254,2.57,132,728,.168,14,0.14,18,0.18,253,26,125,1.26,7,38,45,0.45,298.0,3.0
Madonna,OH/RS,20,60,90,1.50,69,307,.068,9,0.15,9,0.15,107,9,57,0.95,1,30,31,0.52,115.0,1.9
Madonna,MB,26,101,168,1.66,61,419,.255,4,0.04,0,0.00,8,3,26,0.26,5,57,62,0.61,201.5,2.0
Madonna,DS,2,2,0,0.00,0,0,-,0,0.00,0,0.00,0,0,1,0.50,0,0,0,0.00,0.0,0.0
Madonna,DS,3,5,1,0.20,1,2,.000,0,0.00,0,0.00,0,0,1,0.20,0,0,0,0.00,1.0,0.2
Madonna,DS,19,59,1,0.02,1,8,.000,6,0.10,13,0.22,122,13,104,1.76,0,0,0,0.00,14.0,0.2
Madonna,OH/RS,5,5,1,0.20,3,5,-.400,0,0.00,0,0.00,4,1,4,0.80,0,0,0,0.00,1.0,0.2
Madonna,S,20,71,7,0.10,2,31,.161,309,4.35,17,0.24,3,0,113,1.59,0,0,0,0.00,24.0,0.3
Madonna,OH,22,62,137,2.21,58,361,.219,8,0.13,13,0.21,192,18,108,1.74,6,22,28,0.45,167.0,2.7
Madonna,OH/RS,1,1,0,0.00,0,1,.000,0,0.00,0,0.00,0,0,1,1.00,0,0,0,0.00,0.0,0.0
Madonna,MB/RS,19,46,0,0.00,0,6,.000,0,0.00,0,0.00,133,13,64,1.39,0,0,0,0.00,0.0,0.0
Madonna,DS,2,2,0,0.00,0,0,-,0,0.00,0,0.00,0,0,1,0.50,0,0,0,0.00,0.0,0.0
Madonna,MB/OH,20,67,0,0.00,3,11,-.273,27,0.40,9,0.13,272,18,147,2.19,0,0,0,0.00,9.0,0.1
Madonna,S,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0,1,1.00,0,0,0,0.00,0.0,0.0
McPherson,DS,14,34,2,0.06,0,5,.400,2,0.06,6,0.18,23,3,15,0.44,0,0,0,0.00,8.0,0.2
McPherson,S,25,87,73,0.84,21,244,.213,649,7.46,27,0.31,12,2,173,1.99,3,6,9,0.10,106.0,1.2
McPherson,MB,17,62,63,1.02,43,284,.070,8,0.13,19,0.31,181,12,128,2.06,1,5,6,0.10,85.5,1.4
McPherson,DS,25,75,118,1.57,45,298,.245,3,0.04,0,0.00,1,0,24,0.32,13,34,47,0.63,148.0,2.0
McPherson,DS,27,99,1,0.01,2,46,-.022,49,0.49,12,0.12,425,27,311,3.14,0,1,1,0.01,13.5,0.1
McPherson,MH,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
McPherson,DS,24,92,216,2.35,82,554,.242,7,0.08,0,0.00,5,0,27,0.29,15,31,46,0.50,246.5,2.7
McPherson,S,20,73,4,0.05,2,35,.057,41,0.56,2,0.03,421,17,245,3.36,0,0,0,0.00,6.0,0.1
McPherson,RS,18,56,56,1.00,16,217,.184,285,5.09,13,0.23,1,1,99,1.77,2,11,13,0.23,76.5,1.4
McPherson,OH,23,85,163,1.92,80,529,.157,14,0.16,6,0.07,12,2,109,1.28,7,25,32,0.38,188.5,2.2
McPherson,OH,27,101,217,2.15,116,644,.157,23,0.23,28,0.28,604,31,364,3.60,3,13,16,0.16,254.5,2.5
McPherson,S,7,13,10,0.77,9,37,.027,0,0.00,0,0.00,11,1,7,0.54,0,1,1,0.08,10.5,0.8
McPherson,S,26,82,0,0.00,1,4,-.250,5,0.06,13,0.16,4,0,30,0.37,0,0,0,0.00,13.0,0.2
McPherson,S,18,49,1,0.02,0,3,.333,44,0.90,12,0.24,0,0,19,0.39,0,0,0,0.00,13.0,0.3
McPherson,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
McPherson,OPP,8,23,0,0.00,0,3,.000,2,0.09,5,0.22,0,0,6,0.26,0,0,0,0.00,5.0,0.2
McPherson,OPP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
McPherson,OH,17,50,40,0.80,30,139,.072,3,0.06,0,0.00,16,1,14,0.28,6,9,15,0.30,50.5,1.0
McPherson,MB,7,15,0,0.00,0,0,-,0,0.00,0,0.00,0,0,2,0.13,0,0,0,0.00,0.0,0.0
Michigan-Dearborn,DS,25,87,1,0.01,0,8,.125,8,0.09,16,0.18,256,23,132,1.52,0,0,0,0.00,17.0,0.2
Michigan-Dearborn,OH,22,41,14,0.34,15,51,-.020,2,0.05,1,0.02,112,9,57,1.39,0,2,2,0.05,16.0,0.4
Michigan-Dearborn,S/DS,31,108,2,0.02,0,6,.333,21,0.19,12,0.11,374,25,171,1.58,0,0,0,0.00,14.0,0.1
Michigan-Dearborn,OH,13,17,6,0.35,9,24,-.125,0,0.00,0,0.00,2,0,3,0.18,0,4,4,0.24,8.0,0.5
Michigan-Dearborn,MB/RS,31,113,336,2.97,183,1022,.150,12,0.11,31,0.27,520,28,242,2.14,4,43,47,0.42,392.5,3.5
Michigan-Dearborn,DS,30,107,308,2.88,144,913,.180,6,0.06,0,0.00,101,9,38,0.36,2,46,48,0.45,333.0,3.1
Michigan-Dearborn,MB,31,116,2,0.02,7,30,-.167,88,0.76,18,0.16,553,40,538,4.64,0,0,0,0.00,20.0,0.2
Michigan-Dearborn,MB,29,81,54,0.67,50,237,.017,7,0.09,9,0.11,200,22,80,0.99,0,12,12,0.15,69.0,0.9
Michigan-Dearborn,MB/OH,31,114,224,1.96,83,515,.274,10,0.09,40,0.35,5,0,64,0.56,11,101,112,0.98,325.5,2.9
Michigan-Dearborn,MB,31,116,234,2.02,121,596,.190,10,0.09,3,0.03,7,0,12,0.10,15,137,152,1.31,320.5,2.8
Michigan-Dearborn,S,14,22,2,0.09,2,7,.000,0,0.00,1,0.05,48,6,17,0.77,0,0,0,0.00,3.0,0.1
Mid-America Christian,OH,31,117,250,2.14,102,952,.155,8,0.07,0,0.00,258,14,108,0.92,1,26,27,0.23,264.0,2.3
Mid-America Christian,DS,31,116,5,0.04,5,24,.000,12,0.10,42,0.36,392,17,259,2.23,0,0,0,0.00,47.0,0.4
Mid-America Christian,MB,23,76,49,0.64,23,194,.134,1,0.01,0,0.00,5,0,17,0.22,9,50,59,0.78,83.0,1.1
Mid-America Christian,OH,25,83,144,1.73,91,430,.123,5,0.06,0,0.00,71,5,47,0.57,0,11,11,0.13,149.5,1.8
Mid-America Christian,S,31,117,350,2.99,172,1020,.175,516,4.41,23,0.20,11,2,261,2.23,3,53,56,0.48,402.5,3.4
Mid-America Christian,LB,31,117,6,0.05,3,50,.060,120,1.03,31,0.26,739,38,619,5.29,0,0,0,0.00,37.0,0.3
Mid-America Christian,MB,31,117,205,1.75,37,503,.334,16,0.14,12,0.10,17,0,69,0.59,6,57,63,0.54,251.5,2.1
Mid-America Christian,MB,26,98,250,2.55,92,637,.248,12,0.12,7,0.07,8,1,33,0.34,3,46,49,0.50,283.0,2.9
Mid-America Christian,DS,24,81,1,0.01,3,11,-.182,13,0.16,26,0.32,61,5,71,0.88,0,1,1,0.01,27.5,0.3
Mid-America Christian,OH,27,96,190,1.98,83,638,.168,10,0.10,1,0.01,233,20,61,0.64,4,24,28,0.29,207.0,2.2
Mid-America Christian,DS,30,109,4,0.04,0,17,.235,18,0.17,41,0.38,443,26,336,3.08,0,0,0,0.00,45.0,0.4
Mid-America Christian,S,31,117,45,0.38,18,149,.181,669,5.72,53,0.45,14,0,287,2.45,0,3,3,0.03,99.5,0.9
Mid-America Christian,MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Middle Georgia State,N/A,23,60,19,0.32,20,85,-.012,142,2.37,16,0.27,56,10,81,1.35,1,5,6,0.10,38.5,0.6
Middle Georgia State,N/A,24,81,116,1.43,47,380,.182,333,4.11,27,0.33,56,3,212,2.62,4,15,19,0.23,154.5,1.9
Middle Georgia State,N/A,22,52,23,0.44,19,102,.039,5,0.10,5,0.10,102,9,66,1.27,3,14,17,0.33,38.0,0.7
Middle Georgia State,N/A,18,44,36,0.82,28,144,.056,5,0.11,1,0.02,72,8,33,0.75,6,17,23,0.52,51.5,1.2
Middle Georgia State,N/A,21,67,10,0.15,12,81,-.025,124,1.85,15,0.22,190,24,118,1.76,0,3,3,0.04,26.5,0.4
Middle Georgia State,N/A,18,57,78,1.37,53,275,.091,5,0.09,2,0.04,51,9,47,0.82,6,14,20,0.35,93.0,1.6
Middle Georgia State,N/A,24,68,64,0.94,57,266,.026,7,0.10,19,0.28,178,29,78,1.15,1,15,16,0.24,91.5,1.3
Middle Georgia State,N/A,24,81,204,2.52,110,668,.141,25,0.31,18,0.22,303,17,228,2.81,1,7,8,0.10,226.5,2.8
Middle Georgia State,N/A,24,81,173,2.14,92,467,.173,18,0.22,13,0.16,178,18,141,1.74,18,42,60,0.74,225.0,2.8
Middle Georgia State,N/A,7,7,2,0.29,3,15,-.067,1,0.14,4,0.57,7,0,6,0.86,0,0,0,0.00,6.0,0.9
MidAmerica Nazarene,OH,26,96,251,2.61,89,635,.255,11,0.11,26,0.27,38,3,163,1.70,4,72,76,0.79,317.0,3.3
MidAmerica Nazarene,OH,26,94,269,2.86,77,728,.264,2,0.02,0,0.00,339,35,85,0.90,4,38,42,0.45,292.0,3.1
MidAmerica Nazarene,S,21,48,22,0.46,19,96,.031,134,2.79,18,0.38,9,1,60,1.25,0,8,8,0.17,44.0,0.9
MidAmerica Nazarene,MB,25,81,128,1.58,47,331,.245,9,0.11,0,0.00,20,0,28,0.35,10,68,78,0.96,172.0,2.1
MidAmerica Nazarene,OH,27,100,3,0.03,8,27,-.185,74,0.74,21,0.21,372,23,427,4.27,0,0,0,0.00,24.0,0.2
MidAmerica Nazarene,S,19,40,51,1.27,30,135,.156,7,0.17,0,0.00,1,0,18,0.45,2,14,16,0.40,60.0,1.5
MidAmerica Nazarene,MB,27,100,256,2.56,56,563,.355,18,0.18,39,0.39,16,0,104,1.04,19,107,126,1.26,367.5,3.7
MidAmerica Nazarene,S,26,93,43,0.46,20,110,.209,876,9.42,43,0.46,6,0,224,2.41,1,34,35,0.38,104.0,1.1
MidAmerica Nazarene,OH,27,98,266,2.71,137,776,.166,15,0.15,5,0.05,527,32,206,2.10,6,39,45,0.46,296.5,3.0
MidAmerica Nazarene,DS,13,30,0,0.00,1,4,-.250,1,0.03,1,0.03,49,8,31,1.03,0,0,0,0.00,1.0,0.0
MidAmerica Nazarene,OH,27,97,2,0.02,1,8,.125,32,0.33,11,0.11,350,21,208,2.14,0,0,0,0.00,13.0,0.1
MidAmerica Nazarene,RS,14,29,18,0.62,12,62,.097,0,0.00,0,0.00,1,0,7,0.24,2,20,22,0.76,30.0,1.0
MidAmerica Nazarene,OH,16,36,0,0.00,1,8,-.125,0,0.00,5,0.14,30,2,31,0.86,0,0,0,0.00,5.0,0.1
MidAmerica Nazarene,S,10,17,0,0.00,1,1,-1.000,45,2.65,1,0.06,0,0,10,0.59,0,0,0,0.00,1.0,0.1
MidAmerica Nazarene,RS,8,12,3,0.25,4,21,-.048,0,0.00,1,0.08,6,0,4,0.33,0,2,2,0.17,5.0,0.4
MidAmerica Nazarene,OH,3,5,0,0.00,0,1,.000,0,0.00,0,0.00,1,0,1,0.20,0,0,0,0.00,0.0,0.0
MidAmerica Nazarene,OH,10,23,2,0.09,2,9,.000,0,0.00,3,0.13,2,0,6,0.26,0,0,0,0.00,5.0,0.2
Midland,MB,21,67,70,1.04,35,201,.174,1,0.01,0,0.00,4,0,8,0.12,16,49,65,0.97,110.5,1.6
Midland,S,26,90,1,0.01,1,3,.000,4,0.04,21,0.23,1,1,73,0.81,0,0,0,0.00,22.0,0.2
Midland,OH,16,28,40,1.43,20,99,.202,1,0.04,0,0.00,21,1,11,0.39,2,5,7,0.25,44.5,1.6
Midland,DS,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0,1,1.00,0,0,0,0.00,0.0,0.0
Midland,S,28,99,59,0.60,16,142,.303,1170,11.82,29,0.29,9,1,230,2.32,4,35,39,0.39,109.5,1.1
Midland,OH,28,99,360,3.64,127,1068,.218,11,0.11,31,0.31,588,19,342,3.45,1,9,10,0.10,396.5,4.0
Midland,DS,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0,1,1.00,0,0,0,0.00,0.0,0.0
Midland,MB,2,2,3,1.50,0,4,.750,0,0.00,0,0.00,0,0,0,0.00,0,1,1,0.50,3.5,1.8
Midland,MB,20,58,31,0.53,17,89,.157,1,0.02,0,0.00,0,0,4,0.07,3,7,10,0.17,37.5,0.6
Midland,RS,28,91,195,2.14,126,512,.135,2,0.02,0,0.00,3,0,41,0.45,5,66,71,0.78,233.0,2.6
Midland,DS,7,17,0,0.00,0,1,.000,0,0.00,2,0.12,1,0,7,0.41,0,0,0,0.00,2.0,0.1
Midland,OH,1,1,0,0.00,0,1,.000,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Midland,RS,23,84,136,1.62,83,435,.122,7,0.08,4,0.05,398,15,187,2.23,1,18,19,0.23,150.0,1.8
Midland,MB,26,93,227,2.44,84,517,.277,0,0.00,0,0.00,11,0,19,0.20,20,61,81,0.87,277.5,3.0
Midland,MB,20,49,71,1.45,29,152,.276,0,0.00,0,0.00,1,0,9,0.18,8,33,41,0.84,95.5,1.9
Midland,DS,28,99,3,0.03,1,13,.154,71,0.72,21,0.21,460,10,417,4.21,0,0,0,0.00,24.0,0.2
Midland,OH,1,1,1,1.00,0,1,1.000,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,1.0,1.0
Midland,RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Midland,OH,21,62,0,0.00,0,1,.000,1,0.02,13,0.21,1,0,18,0.29,0,0,0,0.00,13.0,0.2
Midland,DS,23,69,163,2.36,75,431,.204,4,0.06,9,0.13,151,1,41,0.59,2,17,19,0.28,182.5,2.6
Midland,MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Midland,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Midland,MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Midland,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Midland,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Midland,DS,28,99,1,0.01,1,6,.000,8,0.08,27,0.27,121,7,184,1.86,0,0,0,0.00,28.0,0.3
Midland,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
