school,position,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
Blue Mountain,RS,30,91,314,3.45,87,742,.306,6,0.07,5,0.05,3,1,65,0.71,8,28,36,0.40,341.0,3.7
Blue Mountain,RS,20,39,70,1.79,15,189,.291,1,0.03,0,0.00,0,0,18,0.46,4,10,14,0.36,79.0,2.0
Blue Mountain,S,21,59,9,0.15,10,46,-.022,324,5.49,32,0.54,2,0,90,1.53,0,3,3,0.05,42.5,0.7
Blue Mountain,S,26,81,13,0.16,5,51,.157,650,8.02,57,0.70,0,0,198,2.44,0,14,14,0.17,77.0,1.0
Blue Mountain,OH,23,51,6,0.12,5,23,.043,4,0.08,18,0.35,54,3,41,0.80,0,1,1,0.02,24.5,0.5
Bethel (TN),OH,29,110,259,2.35,135,716,.173,21,0.19,14,0.13,322,27,167,1.52,7,27,34,0.31,293.5,2.7
Bethel (TN),DS,29,108,0,0.00,2,15,-.133,14,0.13,17,0.16,270,21,177,1.64,0,0,0,0.00,17.0,0.2
Bethel (TN),MB,18,63,65,1.03,27,195,.195,5,0.08,0,0.00,11,2,21,0.33,7,32,39,0.62,88.0,1.4
Bethel (TN),OH,21,53,49,0.92,24,148,.169,2,0.04,0,0.00,5,0,9,0.17,9,12,21,0.40,64.0,1.2
Bethel (TN),S,29,105,228,2.17,109,534,.223,7,0.07,0,0.00,24,1,47,0.45,4,36,40,0.38,250.0,2.4
Bethel (TN),S,8,13,3,0.23,2,15,.067,17,1.31,1,0.08,0,0,5,0.38,0,0,0,0.00,4.0,0.3
Bethel (TN),DS/OH,17,44,1,0.02,2,6,-.167,1,0.02,10,0.23,0,0,10,0.23,1,0,1,0.02,12.0,0.3
Bethel (TN),DS,19,59,6,0.10,3,31,.097,13,0.22,10,0.17,191,8,116,1.97,0,0,0,0.00,16.0,0.3
Bethel (TN),OH,29,110,4,0.04,10,74,-.081,76,0.69,28,0.25,536,30,397,3.61,0,0,0,0.00,32.0,0.3
Bethel (TN),S,29,110,440,4.00,195,1117,.219,44,0.40,39,0.35,579,43,351,3.19,4,18,22,0.20,492.0,4.5
Bethel (TN),MB,28,107,84,0.79,29,319,.172,1011,9.45,42,0.39,25,2,223,2.08,8,33,41,0.38,150.5,1.4
